claim_id,initiative_id,claim_text,outcome_domain,population,timeframe,claim_direction,evidence_status,supporting_source_ids,conflicting_source_ids,notes
claim_mississippi_reading_gains,mississippi-miracle,Mississippi's comprehensive early literacy package increased grade 4 reading achievement relative to comparison states.,achievement,elementary_students,2013-2023,positive,scholarly_reviewed,src_mississippi_eval_spencer_eer,,Evaluation source is currently a stable metadata record so effect-size extraction still needs the full article text.
claim_sor_not_single_program,science-of-reading-sor,Science of Reading should be treated as a broad instructional movement rather than a single intervention with one causal effect estimate.,classification,nationwide_policy_and_instruction,1970-present,mixed,scholarly_reviewed,src_sor_primary_ies_practice_guide|src_sor_eval_nrp_report,,Use this row to prevent overstated claims in the viewer while anchoring to foundational evidence-synthesis and practice guidance sources.
claim_commoncore_math_heterogeneity,common-core-state-standards,Common Core implementation produced positive initial math effects overall but those gains were uneven across student subgroups.,achievement,grade_4_and_8_students,2010-2019,mixed,scholarly_reviewed,src_commoncore_eval_bleiberg,,Bleiberg reports stronger initial gains for economically advantaged students than for disadvantaged peers.
claim_gms_persistence_and_stem,gates-millennium-scholars,Gates Millennium Scholars reduced financial strain and supported stronger persistence completion and STEM continuation outcomes.,postsecondary_and_career,scholarship_recipients,1999-2010,positive,scholarly_reviewed,src_gates_millennium_eval_desjardins,,Open impact report emphasizes lower debt and work burdens plus stronger STEM and graduate-school pathways.
claim_literacy_promotion_retention_tradeoffs,literacy-based-promotion-laws,Literacy-based promotion and retention policies can improve reading outcomes for struggling students but involve meaningful design and implementation tradeoffs.,achievement,struggling_readers,1994-2024,mixed,scholarly_reviewed,src_literacy_promotion_eval_texas_retention|src_mississippi_eval_spencer_eer,,Treat this as a policy family with heterogeneous designs rather than one intervention.
claim_nclb_math_gain,no-child-left-behind-annual-testing-accountability,NCLB accountability provisions increased math achievement more clearly than reading achievement.,achievement,grade_4_and_8_students,2002-2007,positive,scholarly_reviewed,src_nclb_eval_dee_jacob,,Dee and Jacob report an effect size around 0.22 in grade 4 math by 2007 with no comparable reading gains.
claim_nclb_disadvantaged_groups,no-child-left-behind-annual-testing-accountability,NCLB math gains were concentrated among students at the bottom of the achievement distribution and among subsidized-lunch students.,equity,lower_achieving_and_disadvantaged_students,2002-2007,positive,scholarly_reviewed,src_nclb_eval_dee_jacob,,This is one of the stronger equity-oriented findings in the national accountability literature.
claim_chicago_test_specific,chicago-test-based-promotion-and-accountability-reforms,Chicago's high-stakes accountability policy increased high-stakes test scores without matching gains on a lower-stakes state exam.,achievement,district_students,1996-2000,mixed,scholarly_reviewed,src_chicago_eval_jacob_testing,,The study points to test-specific skill gains and effort effects rather than clean general learning gains.
claim_chicago_strategic_response,chicago-test-based-promotion-and-accountability-reforms,Chicago's accountability regime also produced strategic responses such as more special-education assignment preemptive retention and subject substitution away from science and social studies.,school_system_behavior,district_students,1996-2000,negative,scholarly_reviewed,src_chicago_eval_jacob_testing,,Keep this visible so accountability effects are not presented as cost free.
claim_chicago_remediation_effects,chicago-test-based-promotion-and-accountability-reforms,Chicago summer school remediation improved reading and math outcomes while retention effects differed by grade and subject.,achievement,students_near_promotion_cutoffs,1996-2002,mixed,scholarly_reviewed,src_chicago_eval_jacob_lefgren,,The third-grade results are more favorable than the sixth-grade math results.
claim_florida_accountability_math,florida-a-school-grading-accountability-plan,Florida's A+ accountability pressure improved outcomes more clearly in math than in reading for low-performing schools.,achievement,students_in_low_performing_schools,1999-2002,positive,scholarly_reviewed,src_florida_a_plus_eval_figlio_rouse,,The paper also argues that stigma and pressure explain more than voucher threat alone.
claim_florida_test_specific,florida-a-school-grading-accountability-plan,Part of Florida A+ performance improvement appears test specific rather than a uniform learning gain across measures.,achievement,students_in_low_performing_schools,1999-2002,mixed,scholarly_reviewed,src_florida_a_plus_eval_figlio_rouse,,Use this to support continuum views of accountability pressure versus durable learning.
claim_career_academies_earnings,career-academies,Career Academies increased long-run earnings for participants by about 11 percent on average with larger gains for young men.,earnings,high_school_students,1993-2006,positive,scholarly_reviewed,src_career_academies_eval_mdrc,,MDRC reports about 2088 dollars more per year overall and about 3731 dollars more per year for young men.
claim_career_academies_no_academic_harm,career-academies,Career Academies did not reduce high school completion or postsecondary participation while delivering labor-market benefits.,postsecondary_and_career,high_school_students,1993-2006,positive,scholarly_reviewed,src_career_academies_eval_mdrc,,This makes the model unusually strong among career-pathway interventions.
claim_ptech_internships,p-tech-9-14,P-TECH students were much more likely than control students to complete internships and to enroll in college-level courses during high school.,postsecondary_and_career,high_school_students,2011-2025,positive,scholarly_reviewed,src_ptech_eval_mdrc|src_ptech_primary_tea,,MDRC reports a 38 percentage-point internship advantage and 46 versus 20 percent dual enrollment after four years.
claim_ptech_degree_completion,p-tech-9-14,P-TECH students were more likely to complete an associate degree within seven years of entering high school.,postsecondary_attainment,high_school_students,2011-2025,positive,scholarly_reviewed,src_ptech_eval_mdrc,,MDRC reports an approximately 5 percentage-point associate-degree advantage.
claim_careerwise_pathways,careerwise-colorado-youth-apprenticeship,CareerWise youth apprenticeships expand technical and employment pathways through paid work-based learning tied to employer demand.,career_pathways,high_school_students,2017-present,positive,orientation_complete,src_careerwise_eval_harvard|src_careerwise_eval_mdrc,,Current open evidence is stronger on pathway design and participant experience than on causal impact.
claim_school_gardens_reading,school-garden-interventions,The TX Sprouts school-garden intervention produced a statistically significant improvement in fourth-grade reading scores.,achievement,fourth_grade_students,2016-2019,positive,scholarly_reviewed,src_school_garden_eval_academic,,The reported gain is about 6.5 percentage points with no broad claim warranted beyond the measured subgroup and subject.
