Initiative,Category,Core Focus,Key Figures,Timeline,Location,Policies/Mechanisms,Outcomes,Source
Mississippi Miracle,State reform model,"Early literacy, accountability, retention policy",Phil Bryant; Rachel Canter; Mississippi Department of Education,2013-present,Mississippi (statewide),Literacy-Based Promotion Act; reading coaches; structured literacy alignment; grade 3 promotion gate,Large grade 4 reading gains and national attention for literacy improvement,https://mdek12.org/literacy/lbpa/
Science of Reading (SoR),Instructional paradigm,"Evidence-based reading instruction, structured literacy, early screening",Louisa Moats; Tim Shanahan; state literacy offices,1970s-present; policy surge 2015-present,Nationwide,Explicit phonics; decoding instruction; screening and intervention systems; teacher training,Adopted widely across states but not a single evaluable program,https://ies.ed.gov/learn/blog/unpacking-science-reading-dr-tim-shanahan
Common Core State Standards,Standards initiative,"Academic standards, alignment, college readiness",NGA; CCSSO; state education agencies,2010-present,Multi-state U.S.,Shared standards; aligned assessments; implementation guidance; curriculum alignment,Mixed but measurable achievement effects with subgroup differences,https://www.thecorestandards.org/assets/ccssi-introduction.pdf
Gates Millennium Scholars,Scholarship program,"College access, persistence, STEM advancement",Gates Foundation; UNCF,1999-2016,United States,Last-dollar scholarships; leadership development; advising support,Reduced debt and work burden with stronger persistence and STEM pathways,https://files.eric.ed.gov/fulltext/ED539716.pdf
Literacy-Based Promotion Laws,Policy category,"Grade-level reading, early intervention, promotion gates",State legislatures; state education agencies,2000s-present,Multiple U.S. states,Grade 3 reading benchmarks; retention provisions; mandated interventions; parent notification,Mixed evidence with some reading gains and important implementation tradeoffs,https://mdek12.org/literacy/lbpa/
No Child Left Behind annual testing/accountability,Federal accountability policy,"Annual state testing, subgroup accountability, sanctions",George W. Bush; U.S. Department of Education; Congress,2002-2015,United States,Annual reading and math testing; adequate yearly progress; subgroup reporting; school sanctions,Clearer gains in math than reading with stronger effects for lower-performing groups,https://www.govinfo.gov/cgiredirects/getdoc.action?dbname=107_cong_bills&docid=f%3Ah1eh.txt.pdf
Chicago test-based promotion and accountability reforms,District accountability reform,"High-stakes testing, promotion policy, remediation",Chicago Public Schools; Brian Jacob; Lars Lefgren,1996-2002,Chicago Illinois,High-stakes exams; summer school; promotional gates; remediation assignment,High-stakes score gains plus strategic responses and uneven downstream benefits,https://www.nber.org/papers/w8968
Florida A+ school grading/accountability plan,State accountability system,"School grades, accountability pressure, low-performing schools",Florida Department of Education; David Figlio; Cecilia Rouse,1999-present,Florida (statewide),A-F-style grading; sanctions; public labeling; voucher threat for repeated failure,Positive math-focused effects with evidence of stigma and test-specific responses,https://www.fldoe.org/accountability/accountability-reporting/school-grades/
Career Academies,College-to-career pathway model,"Career pathways, academy structure, labor market transitions",MDRC; National Career Academy Coalition,1990s-present,United States,Small learning communities; employer partnerships; career-themed curricula; work-based exposure,Sustained earnings gains without reducing high school completion or college participation,https://www.mdrc.org/work/publications/career-academies-long-term-impacts-work-education-and-transitions-adulthood
P-TECH 9-14,Integrated secondary-postsecondary model,"Technical pathways, employer partnerships, college credit",IBM; Texas Education Agency; MDRC,2011-present,Multi-state U.S.,Six-year diploma-to-degree model; dual enrollment; workplace learning; industry partnerships,Large internship and dual-enrollment gains with higher associate degree completion,https://tea.texas.gov/academics/college-career-and-military-prep/career-and-technical-education/appendix-d-ptech-blueprint.pdf
CareerWise Colorado youth apprenticeship,Youth apprenticeship program,"Apprenticeship, paid work-based learning, career pathways",CareerWise Colorado; Noel Ginsburg; MDRC,2017-present,Colorado,Youth apprenticeships; employer matching; paid work experience; advising support,Strong pathway design and descriptive positive outcomes with limited causal evidence so far,https://www.careerwiseusa.org/research-insights
School garden interventions,School-based enrichment intervention,"Outdoor learning, nutrition education, hands-on instruction",TX Sprouts researchers; school garden educators,2015-present,United States,Outdoor teaching gardens; cooking lessons; nutrition curriculum; hands-on science learning,Some positive elementary reading and science outcomes with heterogeneity by grade and measure,https://www.txsprouts.com/evaluation
School cellphone bans / phone-free school policies,Reduced-tech school policy,"Attention, discipline, classroom technology restriction",Florida school districts; David Figlio; Umut Ozek,2023-present,Florida (statewide),Bell-to-bell phone bans; device restrictions; enforcement rules,Second-year test-score gains and lower absences alongside short-run suspension increases,https://www.nber.org/papers/w34388
