source_id,initiative_id,initiative,replace_original_row,source_role,source_tier,source_type,source_title,source_org,publication_year,repository,url,retrieval_mode,target_relpath,extraction_priority,status,notes
src_mississippi_primary_mde_lbpa,mississippi-miracle,Mississippi Miracle,no,primary,official,program_page,Literacy-Based Promotion Act,Mississippi Department of Education,2026,official_state_agency,https://mdek12.org/literacy/lbpa/,manual_html_capture,raw/official/mississippi/mde_lbpa.html,high,downloaded,Primary implementation source for policy details and current guidance.
src_mississippi_eval_spencer_eer,mississippi-miracle,Mississippi Miracle,no,evaluation,scholarly,metadata_record,"Comprehensive early literacy policy and the ""Mississippi Miracle""",EconBiz / Economics of Education Review metadata,2024,econbiz,https://www.econbiz.de/Record/comprehensive-early-literacy-policy-and-the-mississippi-miracle-spencer-noah/10015358187,manual_html_capture,raw/scholarly/mississippi/spencer_2024_mississippi_miracle.html,high,downloaded,Use a stable metadata page for the article while direct PDF acquisition remains blocked.
src_literacy_promotion_primary_mde_lbpa,literacy-based-promotion-laws,Literacy-Based Promotion Laws,no,primary,official,program_page,Literacy-Based Promotion Act,Mississippi Department of Education,2026,official_state_agency,https://mdek12.org/literacy/lbpa/,manual_html_capture,raw/official/literacy_promotion/mississippi_lbpa.html,high,downloaded,One anchor for multi-state policy category.
src_literacy_promotion_eval_texas_retention,literacy-based-promotion-laws,Literacy-Based Promotion Laws,no,evaluation,scholarly,abstract_record,Third-grade retention and reading achievement in Texas: a nine year panel study,PubMed / Social Science Research,2014,pubmed,https://pubmed.ncbi.nlm.nih.gov/25131271/,manual_html_capture,raw/scholarly/literacy_promotion/texas_retention_study.html,high,downloaded,Use the PubMed abstract and metadata page as the stable acquisition source while full text remains blocked.
src_commoncore_primary_ccss_intro,common-core-state-standards,Common Core State Standards,no,primary,official,standards_intro,Introduction to the Common Core State Standards,CCSSO and NGA Center,2010,official_standards_site,https://www.thecorestandards.org/assets/ccssi-introduction.pdf,direct_pdf,raw/official/common_core/ccss_intro.pdf,high,downloaded,Primary orientation and standards provenance.
src_commoncore_eval_bleiberg,common-core-state-standards,Common Core State Standards,no,evaluation,scholarly,journal_article,Does the Common Core Have a Common Effect? An Exploration of Effects on Academically Vulnerable Students,AERA Open / ERIC full text,2021,eric,https://files.eric.ed.gov/fulltext/EJ1323929.pdf,direct_pdf,raw/scholarly/common_core/bleiberg_2021_common_core.pdf,high,downloaded,Use the ERIC full-text PDF instead of the blocked SAGE landing page.
src_nclb_primary_congress,no-child-left-behind-annual-testing-accountability,No Child Left Behind annual testing/accountability,yes,primary,official,statute_text,No Child Left Behind Act of 2001,GovInfo / U.S. Government Publishing Office,2001,govinfo,https://www.govinfo.gov/cgiredirects/getdoc.action?dbname=107_cong_bills&docid=f%3Ah1eh.txt.pdf,direct_pdf,raw/official/nclb/nclb_statute.pdf,high,downloaded,Use the GovInfo direct PDF instead of the intermittently blocked Congress.gov page.
src_nclb_eval_dee_jacob,no-child-left-behind-annual-testing-accountability,No Child Left Behind annual testing/accountability,yes,evaluation,scholarly,working_paper,The Impact of No Child Left Behind on Student Achievement,NBER,2009,nber,https://www.nber.org/papers/w15531,direct_pdf,raw/scholarly/nclb/dee_jacob_2009_nclb.pdf,high,downloaded,Lead causal national evaluation.
src_chicago_primary_accountability,chicago-test-based-promotion-and-accountability-reforms,Chicago test-based promotion and accountability reforms,yes,primary,technical,policy_report,Ending Social Promotion,University of Chicago Consortium on School Research,2004,consortium_uchicago,https://consortium.uchicago.edu/sites/default/files/2018-10/p70.pdf,direct_pdf,raw/technical/chicago/consortium_ending_social_promotion_p70.pdf,high,downloaded,Use the Consortium policy report as a stable primary historical description of the Chicago promotion and accountability reform package.
src_chicago_eval_jacob_testing,chicago-test-based-promotion-and-accountability-reforms,Chicago test-based promotion and accountability reforms,yes,evaluation,scholarly,working_paper,"Accountability, Incentives and Behavior: The Impact of High-Stakes Testing in the Chicago Public Schools",NBER,2002,nber,https://www.nber.org/papers/w8968,direct_pdf,raw/scholarly/chicago/jacob_2002_high_stakes_testing.pdf,high,downloaded,Lead accountability effects study.
src_chicago_eval_jacob_lefgren,chicago-test-based-promotion-and-accountability-reforms,Chicago test-based promotion and accountability reforms,yes,evaluation,scholarly,working_paper,Remedial Education and Student Achievement: A Regression-Discontinuity Analysis,NBER,2002,nber,https://www.nber.org/papers/w8918,direct_pdf,raw/scholarly/chicago/jacob_lefgren_2002_remedial_education.pdf,high,downloaded,Key study for promotion and remediation effects.
src_florida_a_plus_primary_fldoe,florida-a-school-grading-accountability-plan,Florida A+ school grading/accountability plan,yes,primary,official,program_page,Florida School Grades and Accountability,Florida Department of Education,2026,official_state_agency,https://www.fldoe.org/accountability/accountability-reporting/school-grades/,manual_html_capture,raw/official/florida_a_plus/fldoe_school_grades.html,medium,downloaded,Current official accountability page; historic A+ archival source still desirable.
src_florida_a_plus_eval_figlio_rouse,florida-a-school-grading-accountability-plan,Florida A+ school grading/accountability plan,yes,evaluation,scholarly,working_paper,Do Accountability and Voucher Threats Improve Low-Performing Schools?,NBER / Yale-hosted PDF,2005,open_pdf_mirror,https://law.yale.edu/sites/default/files/documents/pdf/Do_Accountability_and_Voucher_Threats.pdf,direct_pdf,raw/scholarly/florida_a_plus/figlio_rouse_2006_accountability.pdf,high,downloaded,Use the open working-paper PDF mirror rather than the blocked ScienceDirect landing page.
src_career_academies_primary_ncac,career-academies,Career Academies,yes,primary,official,standards_page,National Standards of Practice for Career Academies,National Career Academy Coalition,2026,official_program_site,https://www.ncacinc.com/,manual_html_capture,raw/official/career_academies/ncac_homepage.html,medium,downloaded,Program structure and standards source.
src_career_academies_eval_mdrc,career-academies,Career Academies,yes,evaluation,technical,report,"Career Academies: Long-Term Impacts on Work, Education, and Transitions to Adulthood",MDRC,2008,mdrc,https://www.mdrc.org/work/publications/career-academies-long-term-impacts-work-education-and-transitions-adulthood,direct_pdf,raw/technical/career_academies/mdrc_career_academies_2008.pdf,high,downloaded,Gold-standard randomized evaluation.
src_ptech_primary_tea,p-tech-9-14,P-TECH 9-14,yes,primary,official,blueprint_pdf,Appendix D: P-TECH Blueprint,Texas Education Agency,2024,official_state_agency,https://tea.texas.gov/academics/college-career-and-military-prep/career-and-technical-education/appendix-d-ptech-blueprint.pdf,direct_pdf,raw/official/ptech/tea_ptech_blueprint.pdf,high,downloaded,Use the TEA blueprint PDF as the stable primary implementation source.
src_ptech_eval_mdrc,p-tech-9-14,P-TECH 9-14,yes,evaluation,technical,report,P-TECH 9-14 Final Report,MDRC,2025,mdrc,https://www.mdrc.org/sites/default/files/P-TECH_Final_Report.pdf,direct_pdf,raw/technical/ptech/mdrc_ptech_final_report.pdf,high,downloaded,Lead implementation and outcome evaluation.
src_ptech_primary_nystate,p-tech-9-14,P-TECH 9-14,yes,primary,official,program_page,New York State P-TECH overview,Public Policy Institute of New York State,2026,state_program_overview,https://ppinys.org/about-p-tech,manual_html_capture,raw/official/ptech/ny_ptech_overview.html,high,downloaded,New York statewide P-TECH rollout anchor and origin context.
src_careerwise_primary_site,careerwise-colorado-youth-apprenticeship,CareerWise Colorado youth apprenticeship,yes,primary,official,program_page,Research & Insights Archive,CareerWise USA,2026,official_program_site,https://www.careerwiseusa.org/research-insights,manual_html_capture,raw/official/careerwise/careerwise_research_archive.html,medium,downloaded,Official research and program materials hub.
src_careerwise_eval_mdrc,careerwise-colorado-youth-apprenticeship,CareerWise Colorado youth apprenticeship,yes,evaluation,technical,study_page,CareerWise Colorado Study,MDRC,2026,mdrc,https://www.mdrc.org/node/16615,manual_html_capture,raw/technical/careerwise/mdrc_careerwise_study_page.html,high,downloaded,Process and implementation study anchor.
src_careerwise_eval_harvard,careerwise-colorado-youth-apprenticeship,CareerWise Colorado youth apprenticeship,yes,evaluation,technical,report,The Options Multiplier: Decoding the CareerWise Youth Apprentice Journey,Harvard Kennedy School / Apprenticeship.gov,2021,apprenticeship_gov,https://www.apprenticeship.gov/sites/default/files/Harvard%20Business%20School%20Study%20of%20CareerWise%20Apprenticeships.pdf,direct_pdf,raw/technical/careerwise/harvard_careerwise_options_multiplier.pdf,high,downloaded,Useful outcome and pathway analysis.
