initiative_id,initiative,category,entity_type,theme,location_scope,location_label,location_tags,timeline_label,timeline_start_year,timeline_end_year,timeline_ongoing,core_focus,focus_tags,key_figures,policies,outcomes,research_status,evidence_score,consensus_direction,confidence_label,technology_position,technology_comparison,testing_intensity,work_based_learning_intensity,outdoor_learning_intensity,source_url,source_host
career-academies,Career Academies,College-to-career pathway model,program,career_and_technical_pathways,national,United States,United States,1990s-present,,,true,"Career pathways, academy structure, labor market transitions",Career pathways|academy structure|labor market transitions,MDRC|National Career Academy Coalition,Small learning communities|employer partnerships|career-themed curricula|work-based exposure,Sustained earnings gains without reducing high school completion or college participation,scholarly_reviewed,5,positive,high,low_tech,applied_learning_vs_general_academics,low,high,low,https://www.mdrc.org/work/publications/career-academies-long-term-impacts-work-education-and-transitions-adulthood,mdrc.org
school-garden-interventions,School garden interventions,School-based enrichment intervention,program,outdoor_and_experiential_learning,national,United States,United States,2015-present,2015,2026,true,"Outdoor learning, nutrition education, hands-on instruction",Outdoor learning|nutrition education|hands-on instruction,TX Sprouts researchers|school garden educators,Outdoor teaching gardens|cooking lessons|nutrition curriculum|hands-on science learning,Some positive elementary reading and science outcomes with heterogeneity by grade and measure,scholarly_reviewed,3,positive,medium,low_tech,low_tech_hands_on_learning,low,low,very_high,https://www.txsprouts.com/evaluation,txsprouts.com
science-of-reading-sor,Science of Reading (SoR),Instructional paradigm,research_movement,literacy_instruction,national,Nationwide,United States,1970s-present; policy surge 2015-present,2015,2026,true,"Evidence-based reading instruction, structured literacy, early screening",Evidence-based reading instruction|structured literacy|early screening,Louisa Moats|Tim Shanahan|state literacy offices,Explicit phonics|decoding instruction|screening and intervention systems|teacher training,Adopted widely across states but not a single evaluable program,scholarly_reviewed,3,mixed,medium,mixed,high_tech_vs_low_tech_to_be_split,medium,none,none,https://ies.ed.gov/learn/blog/unpacking-science-reading-dr-tim-shanahan,ies.ed.gov
advancing-ai-in-education,Advancing AI in Education,Education technology policy initiative,policy_package,ai_enabled_instruction_and_operations,national,United States,United States,2025-present,2025,2026,true,"Responsible AI use, instructional support, teacher productivity",Responsible AI use|instructional support|teacher productivity,U.S. Department of Education|state education agencies|district leaders,AI-enabled instructional support|teacher workflow tools|AI literacy guidance,Evidence is emerging and mixed with high policy attention,orientation_complete,2,mixed,medium_low,high_tech,high_tech_vs_low_tech,low,none,none,https://www.ed.gov/about/news/press-release/us-department-of-education-releases-secretary-mcmahons-meaningful-learning-and-workforce-readiness-supplemental-priorities,ed.gov
evidence-based-literacy-priority,Evidence-based literacy priority,Federal literacy priority,policy_package,literacy_instruction_priority,national,United States,United States,2025-present,2025,2026,true,"Science of Reading alignment, literacy intervention, implementation quality",Science of Reading alignment|literacy intervention|implementation quality,U.S. Department of Education|state literacy offices|district curriculum leaders,SoR-aligned literacy supports|professional learning|targeted interventions,High policy momentum with effectiveness dependent on implementation quality,orientation_complete,3,positive,medium,mixed,high_tech_vs_low_tech_to_be_split,medium,none,none,https://www.ed.gov/about/news/press-release/us-department-of-education-releases-secretary-mcmahons-meaningful-learning-and-workforce-readiness-supplemental-priorities,ed.gov
high-dosage-tutoring-engage-every-student,High-dosage tutoring (Engage Every Student),Academic recovery initiative,program,academic_recovery_and_tutoring,national,United States,United States,2021-present,2021,2026,true,"Targeted tutoring, accelerated learning, implementation support",Targeted tutoring|accelerated learning|implementation support,U.S. Department of Education|state education agencies|district tutoring providers,Frequent small-group tutoring|in-school tutoring models|evidence-based implementation guidance,Strong evidence base for learning recovery with scaling and cost challenges,scholarly_reviewed,4,positive,medium_high,mixed,high_tech_vs_low_tech_to_be_split,medium,low,none,https://www.ed.gov/sites/ed/files/2024/06/High-Dosage-Tutoring.pdf,ed.gov
raise-the-bar-career-pathways,Raise the Bar career pathways,Career-connected learning initiative,policy_package,career_connected_learning,national,United States,United States,2021-present,2021,2026,true,"Career pathways, CTE expansion, work-based learning",Career pathways|CTE expansion|work-based learning,U.S. Department of Education|state CTE leaders|employer partners,Career-connected pathways|work-based learning expansion|secondary-to-postsecondary alignment,Expanded national attention to pathway models with uneven state implementation depth,orientation_complete,3,positive,medium,mixed,pathway_models_vs_traditional_academics,medium,high,low,https://learnworkecosystemlibrary.com/archive/Raise%20the%20Bar-Postsecondary%20and%20Career%20Pathways.html,learnworkecosystemlibrary.com
careerwise-colorado-youth-apprenticeship,CareerWise Colorado youth apprenticeship,Youth apprenticeship program,program,youth_apprenticeship,state,Colorado,Colorado,2017-present,2017,2026,true,"Apprenticeship, paid work-based learning, career pathways",Apprenticeship|paid work-based learning|career pathways,CareerWise Colorado|Noel Ginsburg|MDRC,Youth apprenticeships|employer matching|paid work experience|advising support,Strong pathway design and descriptive positive outcomes with limited causal evidence so far,orientation_complete,2,positive,medium_low,mixed,workplace_learning_vs_school_only,low,very_high,low,https://www.careerwiseusa.org/research-insights,careerwiseusa.org
common-core-state-standards,Common Core State Standards,Standards initiative,policy_package,state_testing_and_standards,multi_state,Multi-state U.S.,Multiple states,2010-present,2010,2026,true,"Academic standards, alignment, college readiness",Academic standards|alignment|college readiness,NGA|CCSSO|state education agencies,Shared standards|aligned assessments|implementation guidance|curriculum alignment,Mixed but measurable achievement effects with subgroup differences,scholarly_reviewed,3,mixed,medium,mixed,compare_later,high,none,none,https://www.thecorestandards.org/assets/ccssi-introduction.pdf,thecorestandards.org
florida-a-school-grading-accountability-plan,Florida A+ school grading/accountability plan,State accountability system,policy_package,state_testing_and_accountability,state,Florida (statewide),Florida,1999-present,1999,2026,true,"School grades, accountability pressure, low-performing schools",School grades|accountability pressure|low-performing schools,Florida Department of Education|David Figlio|Cecilia Rouse,A-F-style grading|sanctions|public labeling|voucher threat for repeated failure,Positive math-focused effects with evidence of stigma and test-specific responses,scholarly_reviewed,3,mixed,medium,low_tech,low_tech_testing_regime,very_high,none,none,https://www.fldoe.org/accountability/accountability-reporting/school-grades/,fldoe.org
